timestamp,cpu_load_percent,ram_usage_percent,gpu_load_percent,gpu_temp_c,gpu_power_w
2026-08-16T04:44:49.873299,19.5,95.3,77,71,65.389
2026-08-16T04:44:50.874062,20,95.3,79,71,66.492
2026-08-16T04:44:51.875122,19.3,95.4,76,71,64.383
2026-08-16T04:44:52.877300,21.9,95.3,80,72,67.337
2026-08-16T04:44:53.878894,21.1,95.4,78,71,64.424
2026-08-16T04:44:54.879988,19.6,95.4,66,69,57.877
2026-08-16T04:44:55.881404,19.6,95.4,69,70,57.101
2026-08-16T04:44:56.882522,19.5,95.4,69,70,60.025
2026-08-16T04:44:57.883492,21.5,95.5,67,71,57.703
2026-08-16T04:44:58.884645,18.9,95.4,70,69,56.688
2026-08-16T04:44:59.886052,20.1,95.4,76,71,62.178
2026-08-16T04:45:00.887088,19.9,95.4,72,70,81.121
2026-08-16T04:45:01.888842,21.1,95.4,70,71,65.623
2026-08-16T04:45:02.889854,21.9,95.4,72,70,60.936
2026-08-16T04:45:03.890931,23.6,96.4,81,71,64.969
2026-08-16T04:45:04.892335,24.6,96.3,78,72,62.441
2026-08-16T04:45:05.893733,22.3,96.5,77,71,63.276
2026-08-16T04:45:06.895113,21.6,96.5,78,72,63.441
2026-08-16T04:45:07.896768,23.9,97.5,76,71,64.828
2026-08-16T04:45:08.898624,27.3,97,63,69,60.146
2026-08-16T04:45:09.900256,19.8,96.7,61,69,54.109
2026-08-16T04:45:10.900899,20.6,96.6,63,71,51.259
2026-08-16T04:45:11.901758,20,96.5,73,71,62.001
2026-08-16T04:45:12.903031,24.4,96.6,79,71,64.896
2026-08-16T04:45:13.904366,20.5,96.6,72,71,61.694
2026-08-16T04:45:14.906695,20.4,96.5,78,72,63.329
2026-08-16T04:45:15.907571,20.8,96.5,56,70,54.463
2026-08-16T04:45:16.908637,22.9,96.5,71,71,59.361
2026-08-16T04:45:17.909902,20.5,96.5,81,73,63.917
2026-08-16T04:45:18.910588,22.8,96.5,76,70,63.24
2026-08-16T04:45:19.911920,20.2,96.5,74,71,63.79
2026-08-16T04:45:20.913579,19.6,96.4,73,71,63.744
2026-08-16T04:45:21.914376,20.6,96.5,82,71,65.636
2026-08-16T04:45:22.915474,19.4,96.4,69,69,57.855
2026-08-16T04:45:23.916558,19.5,96.4,71,69,59.623
2026-08-16T04:45:24.918165,19,96.4,72,70,59.699
2026-08-16T04:45:25.919983,18.9,96.4,69,71,59.199
2026-08-16T04:45:26.921035,20.5,96.4,65,70,58.154
2026-08-16T04:45:27.922122,18.8,96.4,67,70,57.947
2026-08-16T04:45:28.923234,20.5,96.4,67,68,57.47
2026-08-16T04:45:29.924678,35.5,96.4,64,70,55.552
2026-08-16T04:45:30.926181,22.2,96.5,68,70,56.254
2026-08-16T04:45:31.927628,15.4,96.5,67,68,57.455
2026-08-16T04:45:32.928811,20.5,96.5,76,71,74.556
2026-08-16T04:45:33.930209,21.4,96.1,68,70,59.005
2026-08-16T04:45:34.931418,22.5,96,76,71,61.126
2026-08-16T04:45:35.932548,19.8,96.1,75,69,59.872
2026-08-16T04:45:36.933710,20.3,96.1,67,69,55.692
2026-08-16T04:45:37.934925,21.7,96.1,68,69,57.16
2026-08-16T04:45:38.936116,18.9,96.1,63,69,55.049
2026-08-16T04:45:39.937385,19.6,96.1,63,68,53.275
2026-08-16T04:45:40.938580,19.1,96.1,66,68,55.57
2026-08-16T04:45:41.939490,21.1,96.1,65,68,56.24
2026-08-16T04:45:42.940674,17.1,96.1,61,69,54.911
2026-08-16T04:45:43.941659,21.2,96.1,67,68,57.712
2026-08-16T04:45:44.943012,18.3,96.1,71,71,59.946
2026-08-16T04:45:45.944466,19.3,96.1,77,69,58.739
2026-08-16T04:45:46.945127,19.9,96.1,71,68,58.732
2026-08-16T04:45:47.946148,19.3,96.1,77,69,61.816
2026-08-16T04:45:48.947788,18.5,96.1,65,67,54.996
2026-08-16T04:45:49.948828,18.2,96.1,70,69,58.514
2026-08-16T04:45:50.949804,20.9,96.1,65,69,55.082
2026-08-16T04:45:51.951111,16.3,96,64,68,53.849
2026-08-16T04:45:52.952429,17.3,96,57,67,52.686
2026-08-16T04:45:53.953860,18.2,96.1,73,68,57.233
2026-08-16T04:45:54.955837,21.9,96.2,66,68,57.623
2026-08-16T04:45:55.957289,20.1,96.1,69,69,57.851
2026-08-16T04:45:56.958696,21.1,96.2,71,70,58.938
2026-08-16T04:45:57.959672,19.7,96.1,67,70,55.312
2026-08-16T04:45:58.961000,22,96.2,61,69,51.605
2026-08-16T04:45:59.962175,19,96.1,66,70,57.727
2026-08-16T04:46:00.963169,19.8,95.3,70,71,59.943
2026-08-16T04:46:01.965093,20.8,95.3,67,69,59.2
2026-08-16T04:46:02.966303,20.8,95.4,71,69,59.426
2026-08-16T04:46:03.967561,21.6,95.3,62,69,56.337
2026-08-16T04:46:04.968903,21.3,95.2,74,71,61.705
2026-08-16T04:46:05.970403,20.9,95.2,71,69,60.323
2026-08-16T04:46:06.972081,19.2,95.3,69,69,56.241
2026-08-16T04:46:07.973395,18,95.3,63,69,52.239
2026-08-16T04:46:08.974128,19.8,95.3,64,69,54.924
2026-08-16T04:46:09.975137,19.3,95.3,67,69,58.327
